cell1	cell2	cell3	cell4	cell5	cell6	cell7	cell8	cell9	cell10	cell11	cell12
0	0	0	0	1.34	0	0	0	0	0	0	0.28
0	0	0	0	0.52	0	0	0	0	0	0	1.26
0	0	0	0	1.51	0	0	0	0	0	0	0.03
0	0	0	0	0.47	0	0	0	0	0	0	0.49
0	0	0	0	0.49	0	0	0	0	0	0	1.2
0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	1.07
0.01	0.01	0.01	0.01	0.94	0.01	0.01	0.01	0.01	0.01	0.01	0.62
0.01	0.01	0.01	0.01	0.52	0.01	0.01	0.01	0.01	0.01	0.01	1.61
0.01	0.01	0.01	0.01	0.54	0.01	0.01	0.01	0.01	0.01	0.01	1.13
0.01	0.01	0.01	0.01	0.21	0.01	0.01	0.01	0.01	0.01	0.01	2.94
0.01	0.01	0.01	0.01	1.69	0.01	0.01	0.01	0.01	0.01	0.01	0.35
0.01	0.01	0.01	0.01	0.03	0.01	0.01	0.01	0.01	0.01	0.01	0.4
0.01	0.01	0.01	0.01	0.39	0.01	0.01	0.01	0.01	0.01	0.01	0.64
0.01	0.01	0.01	0.01	0.4	0.01	0.01	0.01	0.01	0.01	0.01	0.13
0.01	0.01	0.01	0.01	0.27	0.01	0.01	0.01	0.01	0.01	0.01	1.67
0.02	0.02	0.02	0.02	0.78	0.02	0.02	0.02	0.02	0.02	0.02	0.84
0.02	0.02	0.02	0.02	1.12	0.02	0.02	0.02	0.02	0.02	0.02	4.06
0.02	0.02	0.02	0.02	0.17	0.02	0.02	0.02	0.02	0.02	0.02	0.07
0.02	0.02	0.02	0.02	0.43	0.02	0.02	0.02	0.02	0.02	0.02	1.82
0.02	0.02	0.02	0.02	0.34	0.02	0.02	0.02	0.02	0.02	0.02	2.07
0.02	0.02	0.02	0.02	0.51	0.02	0.02	0.02	0.02	0.02	0.02	1.77
0.02	0.02	0.02	0.02	2.26	0.02	0.02	0.02	0.02	0.02	0.02	1.97
0.02	0.02	0.02	0.02	0.09	0.02	0.02	0.02	0.02	0.02	0.02	1.4
0.02	0.02	0.02	0.02	1.26	0.02	0.02	0.02	0.02	0.02	0.02	1.53
0.02	0.02	0.02	0.02	0.33	0.02	0.02	0.02	0.02	0.02	0.02	0.89
0.03	0.03	0.03	0.03	0.22	0.03	0.03	0.03	0.03	0.03	0.03	1.13
0.03	0.03	0.03	0.03	0.09	0.03	0.03	0.03	0.03	0.03	0.03	1.73
