cellID	binary1	binary2	category1	category2	quantitative1	quantitative2	random1	random2
cell1	cell1	0	1	A	Z	0.833	20	0.233591032	748.046298
cell2	cell2	0	1	A	Z	1.667	18.333	0.719129611	367.359519
cell3	cell3	0	1	A	Y	2.5	16.667	0.43124615	550.747653
cell4	cell4	0	1	A	Y	3.333	15	0.115911813	-132.818139
cell5	cell5	1	1	B	Y	8.167	4.333	0.331440631	-197.078877
cell6	cell6	1	1	B	Y	5	11.667	0.441632216	315.129593
cell7	cell7	1	0	B	Y	5.833	10	0.569572202	441.253756
cell8	cell8	1	0	B	Y	6.667	8.333	0.131779748	-64.793407
cell9	cell9	1	0	B	W	7.5	6.667	0.993207731	-2.769713
cell10	cell10	1	0	B	W	8.333	5	0.458855024	-112.931608
cell11	cell11	1	0	C	W	9.167	3.333	0.435190048	387.032591
cell12	cell12	1	0	C	W	10	4.667	0.267487447	67.151115
