bin.chrom	bin.start	bin.start.abspos	bin.end	bin.length	mappable.positions	gc.content	chrom.numeric	chrom	chrompos	abspos
1	0	0	1311584	1311584	498370	0.507877845	1	1	0	0
1	1311584	1311584	1988508	676924	498370	0.548532775	1	1	1311584	1311584
1	1988508	1988508	2529293	540785	498371	0.591989423	1	1	1988508	1988508
1	2529293	2529293	3144678	615385	498370	0.570765054	1	1	2529293	2529293
1	3144678	3144678	3664503	519825	498370	0.586114558	1	1	3144678	3144678
1	3664503	3664503	4369116	704613	498371	0.493720847	1	1	3664503	3664503
1	4369116	4369116	4893186	524070	498370	0.4887744	1	1	4369116	4369116
1	4893186	4893186	5434547	541361	498370	0.442708285	1	1	4893186	4893186
1	5434547	5434547	5964110	529563	498371	0.491858381	1	1	5434547	5434547
1	5964110	5964110	6523265	559155	498370	0.543597035	1	1	5964110	5964110
1	6523265	6523265	7082402	559137	498371	0.484995627	1	1	6523265	6523265
1	7082402	7082402	7616467	534065	498370	0.481143681	1	1	7082402	7082402
1	7616467	7616467	8179701	563234	498370	0.463636783	1	1	7616467	7616467
1	8179701	8179701	8750759	571058	498371	0.445699036	1	1	8179701	8179701
1	8750759	8750759	9336762	586003	498370	0.474004399	1	1	8750759	8750759
1	9336762	9336762	9924954	588192	498370	0.507118424	1	1	9336762	9336762
1	9924954	9924954	10539461	614507	498371	0.452627879	1	1	9924954	9924954
1	10539461	10539461	11088815	549354	498370	0.510383105	1	1	10539461	10539461
1	11088815	11088815	11659398	570583	498370	0.488321594	1	1	11088815	11088815
1	11659398	11659398	12236298	576900	498371	0.5199948	1	1	11659398	11659398
1	12236298	12236298	12790486	554188	498370	0.45669881	1	1	12236298	12236298
1	12790486	12790486	14208871	1418385	498371	0.455625274	1	1	12790486	12790486
1	14208871	14208871	14754110	545239	498370	0.424516588	1	1	14208871	14208871
1	14754110	14754110	15289749	535639	498370	0.467708662	1	1	14754110	14754110
1	15289749	15289749	15848620	558871	498371	0.492641415	1	1	15289749	15289749
1	15848620	15848620	16446714	598094	498370	0.491812324	1	1	15848620	15848620
1	16446714	16446714	17307125	860411	498370	0.491439529	1	1	16446714	16446714
1	17307125	17307125	17878680	571555	498371	0.500772454	1	1	17307125	17307125
1	17878680	17878680	18403245	524565	498370	0.504705804	1	1	17878680	17878680
1	18403245	18403245	18925640	522395	498370	0.488500081	1	1	18403245	18403245
